COD_DEP,NUM_OBRAS_ASSOCIADAS,OBRAS_EXECUTADAS,SOMA_PRIORIDADES_EXECUTADAS,SOMA_PRIORIDADES_ASSOCIADAS
3256,667,191.0,12053.310699999996,33683.5
3113,476,9.0,629.8865000000001,24038.0
3257,346,196.0,11822.904300000002,17472.999999999996
3182,264,34.0,1889.7794,13331.999999999993
3129,235,118.0,7334.422999999999,11867.500000000002
3273,211,49.0,3048.228500000001,10655.5
3058,206,124.0,7594.878199999999,10403.000000000005
3145,204,123.0,6101.527200000002,10301.999999999998
6300,197,9.0,657.5511,9948.5
3285,181,38.0,2198.9500000000003,9140.5
3327,173,53.0,3287.7672999999995,8736.500000000002
3286,170,49.0,2495.8813,8585.0
3294,160,35.0,1929.6981,8079.999999999998
3219,156,76.0,4170.767700000001,7878.000000000002
3326,153,27.0,1605.7895000000003,7726.500000000003
3297,151,45.0,2830.86,7625.499999999999
3275,149,63.0,3833.027199999999,7524.499999999999
3061,138,29.0,1598.5472999999997,6969.000000000001
3205,138,35.0,2288.8759,6968.999999999997
3328,132,22.0,1418.5802,6665.999999999998
3152,127,29.0,1726.9288999999999,6413.500000000002
3382,126,20.0,1003.664,6362.999999999999
3398,126,21.0,1070.4,6363.000000000002
3224,125,44.0,2297.0485,6312.499999999998
3323,115,61.0,3315.8421,5807.499999999999
3303,113,22.0,1363.8036,5706.5
3134,112,45.0,2874.9729000000007,5656.000000000003
3229,109,40.0,2533.3333999999995,5504.500000000004
3287,108,29.0,1867.4394000000004,5453.999999999999
3325,105,27.0,1616.7116,5302.499999999998
3349,104,13.0,720.4177,5251.999999999998
3259,103,13.0,720.5587999999999,5201.499999999999
3403,103,25.0,1746.8233000000002,5201.499999999998
3215,101,46.0,2728.8999999999996,5100.500000000001
3296,99,17.0,624.1327000000001,4999.5
3270,97,33.0,2344.032000000001,4898.502399999998
3302,96,11.0,631.0526,4848.0
3299,95,9.0,630.383,4797.499999999999
3396,89,21.0,1638.75,4494.5
3362,83,11.0,605.0,4191.5
3130,77,14.0,673.1315999999999,3888.5
3365,75,32.0,2151.1349999999998,3787.5000000000005
3397,75,12.0,757.1756000000001,3787.5000000000005
3399,71,17.0,916.4857000000001,3585.499999999999
3284,66,11.0,732.9385,3332.999999999999
3293,66,11.0,676.5845999999999,3333.0000000000005
3274,65,14.0,761.1408,3282.5008
3279,64,15.0,956.2857000000001,3231.9999999999995
3060,63,21.0,1407.0001999999997,3181.5000000000005
3141,60,9.0,433.52559999999994,3029.9999999999995
3181,60,12.0,666.4068,3029.9999999999995
3177,59,8.0,282.8105,2979.4999999999995
3251,58,8.0,529.0527,2929.0
3298,57,10.0,474.94640000000004,2878.4999999999995
3289,55,13.0,810.5,2777.5000000000005
3381,51,16.0,978.28,2575.500000000001
3269,48,6.0,458.87230000000005,2424.0
3131,43,12.0,771.0,2171.5
3023,41,8.0,488.1500000000001,2070.4999999999995
3178,41,4.0,202.0,2070.4999999999995
3133,40,2.0,134.0,2020.0000000000002
3394,40,6.0,386.7693,2020.0000000000002
3322,39,7.0,496.78940000000006,1969.4999999999998
3395,34,4.0,367.0,1717.0
3059,32,8.0,538.1291,1616.0
3283,30,2.0,172.68959999999998,1515.0000000000005
3393,26,4.0,289.12,1313.0000000000002
3314,21,2.0,105.95,1060.5
3313,20,9.0,603.0,1010.0000000000001
3245,15,1.0,100.0,757.5
3114,12,0.0,0.0,606.0
3213,9,1.0,100.0,454.5
3292,7,0.0,0.0,353.5
3115,5,2.0,175.25,252.5
3247,4,0.0,0.0,202.0
6310,4,3.0,135.0,202.0
3116,3,0.0,0.0,151.5
6330,3,0.0,0.0,151.5
3009,2,2.0,101.0,101.0
3307,2,2.0,101.0,101.0
3366,2,0.0,0.0,101.0
